Date,Red Cherry Tomato,Yellow Pear Tomato,Plum Tomato,Green Zebra Tomato,Beefsteak,Brandywine Pink,Poblano Pepper,Cayenne Ring o' Fire,Purple Flower Pepper,Jalapeno,Yellow Pepper,Second Jalapeno (?)
July 2,,,19,,,,,,,,,
July 3,,,,,,,,,,,,
July 4,,,,,,,,,,,,
July 5,,,,,,,,,,,,
July 6,,,44,,,,,,,,,
July 7,,,,,,,,,,,,
July 8,107,,,,,,,,,,,
July 9,113,26,83,,,,,,,,,
July 10,,,,,,,,,,,,
July 11,,,,,,,,,,,,
July 12,17,8,,,,,,,,,,
July 13,,,,,,,,,,,,
July 14,42,11,141,110,,,43,25,,,,
July 15,,,,,,,,,,,,
July 16,34,10,,,,,,,,,,
July 17,48,14,34,,,,,,,,,
July 18,,20,51,,,,,,,,,
July 19,42,,42,,,,71,,,,,
July 20,,10,,,,,,,,,,
July 21,,,,,,,,,,,,
July 22,,,,,,,,,,,,
July 23,15,8,29,,,,,,,,,
July 24,16,,,,,,,,1,,,
July 25,12,,,,,,,,,,,
July 26,,15,27,,,,,6,,,,
July 27,,,,,,,,,,,,
July 28,,,20,,,46,,7,,,,
July 29,12,10,49,,,,,9,,,,
July 30,,,,,,,,,,,,
July 31,,,,,,,,,,,,
August 1,,42,,,182,,,23,3,,,
August 2,51,44,19,,,,,,,,,
August 3,,,,,,,,,,,,
August 4,25,56,,,90,,,,,,,
August 5,172,120,119,99,,58,,,7,,9,
August 6,,,,,,,,,,,,
August 7,163,41,102,,,,48,7,,,,
August 8,,,,,,,,,,,,
August 9,94,,92,115,,,,5,2,17,,
August 10,,,,,,,,,,,,
August 11,,,,,,,,,,,,
August 12,79,7,133,,48,197,,,4,,20,
August 13,,,,,,,,,,,,
August 14,,16,61,17,,,,6,,,,
August 15,16,18,125,,,299,,2,1,,,
August 16,,,,,,,,,,,,
August 17,,,,,,,,,,,,
August 18,,,,,,,,,,,,
August 19,,,,,,,,,,,,
August 20,,,,,,,,,,,,
August 21,,,,,,,,,,,,
August 22,12,,,,,,,7,1,12,,
August 23,,,,,,,,,,,,
August 24,53,30,,77,,,,9,2,13,,
August 25,60,31,185,97,,30,,8,,,,
August 26,,,,,,,,,,,,
August 27,,,,,,,,,,,,
August 28,,,,,,,,,,,,
August 29,,,,,,,,,,,,
August 30,,,,,,,,,,,,
August 31,,,,,,,,,,,,
September 1,69,129,71,75,,,,6,3,,,39
September 2,,,,,,,,,,,,
September 3,185,77,198,,,32,,11,,11,3,15
September 4,,,,,,,,,,,,
September 5,,,,,,,,,,,,
September 6,,,,,,,,,,,,
September 7,,,,,,,,,,,,
September 8,,,,,,,,,,,,
September 9,13,22,,,,64,,5,,62,,87
